"Posición","Provincia","Canton","No.","No.Provincia","No.Canton","No.Unidad","IDH","UrbanoRural","AM","GAM","CX","CY","Area_km2","Total.de.jefas.de.hogar","Total.Hijos.de.jefas.de.hogar","Porcentaje..de.hijos.por.jefa.de.hogar","Porcentaje..de.cobertura","Deficit.cobertura.nominal","Total.niños.atendidos.x.CENCINAI","No.CENCINAI","Total.Poblacion","Total.Hombres","Total.Mujeres","Total.Viviendas","Total.Viviendas.Individuales","Total.Viviendas.Ocupadas","Total.Viviendas.Desocupadas","Promedio.de.ocupantes","Viviendas.colectivas","Total.Urbano","Hombres.urbano","Mujeres.urbano","Total.Rutal","Hombres.rural","Mujeres.rural","Total.10.o.mas","Alfabeta..10.o.mas","Analfabeta..10.o.mas","Porcentaje..Alfabetismo..10.o.mas","Total.Hombres..10.o.mas","Hombres.Alfabeta..10.o.mas","Hombres.analfabeta..10.o.mas","Total.Mujeres..10.o.mas","Mujer.Alfabeta..10.o.mas","Hombre.Analfabeta..10.o.mas","Total.Niños.Niñas.menor.de.5","Niños.menor.de.5","Niñas.menor.de.5","Total.Asiste.menor.de.5","Niños.Asiste.menor.de.5","Niñas.Asiste.menor.de.5","Total.No.asiste.menor.de.5","Niños.No.asiste.menor.de.5","Niñas.No.asiste.menor.de.5","Total.Poblacion.65.o.mas","Hombres..65.o.mas","Mujeres.65.o.mas","Total.65.o.mas.asiste.a.centros","Hombres.65.o.mas.asiste.a.centros","Mujeres.65.o.mas.asiste.a.centros","Total.65.o.mas.no.asiste.a.centros","Hombres.65.o.mas.no.asiste.a.centros","Mujeres.65.o.mas.no.asiste.a.centros","Población.de.5.años.y.más","Población.de.5.años.y.más..Celular.Usó.en.los.últimos.3.meses","Población.de.5.años.y.más..Computadora.Usó.en.los.últimos.3.meses","Población.de.5.años.y.más..Internet.Usó.en.los.últimos.3.meses","Seguro..Asalariado.a.","Seguro..Cuenta.propia..voluntario.o.convenio","Seguro..Régimen.no.contributivo..recibe.pensión.","Seguro..Pensionado.a...CCSS..Magisterio.y.otro.","Seguro..Familiar","Seguro..Por.el.Estado","Seguro..Otro","No.tiene.seguro.social.de.la.CCSS","Total.de.hogares","Jefatura.compartida","Jefatura.masculina","Jefatura.femenina","Total.de.viviendas.individuales.ocupadas","Estado.de.la.vivienda..Malo","Estado.de.la.vivienda..Regular","Estado.de.la.vivienda..Bueno","Menos.de.1.año","De.1.a.4.años","De.5.a.9.años","De.10.a.19.años","De.20.a.29.años","De.30.a.39.años","De.40.a.49.años","De.50.a.64.años","De.65.a.74.años","De.75.a.84.años","De.85.años.y.más","Hombres.Población.total","Hombres.Menos.de.1.año","Hombres.De.1.a.4.años","Hombres.De.5.a.9.años","Hombres.De.10.a.19.años","Hombres.De.20.a.29.años","Hombres.De.30.a.39.años","Hombres.De.40.a.49.años","Hombres.De.50.a.64.años","Hombres.De.65.a.74.años","Hombres.De.75.a.84.años","Hombres.De.85.años.y.más","Mujeres.Población.total","Mujeres.Menos.de.1.año","Mujeres.De.1.a.4.años","Mujeres.De.5.a.9.años","Mujeres.De.10.a.19.años","Mujeres.De.20.a.29.años","Mujeres.De.30.a.39.años","Mujeres.De.40.a.49.años","Mujeres.De.50.a.64.años","Mujeres.De.65.a.74.años","Mujeres.De.75.a.84.años","Mujeres.De.85.años.y.más","Violaciones","Vehiculos","Tacha","Homicidios","Fraude","Casas","Agresion","TotalDelitos","Posicion","Aceptados","Rechazados","NotaExamen","UCR","Medicina","Microbiologia","Comunicacion","Densidad_de_poblacion","Menos_de_1_ano","De_65_anos_y_mas","Poblacion_con_discapacidad_res"
71,"Alajuela","Guatuso",302,2,15,215,684,"Mixto",FALSE,FALSE,-339.526124,42.734813,762.8554623168,234,326,1.3931623932,-0.263803681,86,240,5,15508,7886,7622,5288,5287,4409,878,3.5110002268,1,2660,1239,1421,12848,6647,6201,12607,11881,726,94.2412945189,6374,5987,387,6233,5894,339,1451,780,671,115,63,52,1336,717,619,992,553,439,6,2,4,986,551,435,14057,9075,3844,3458,1497,2197,214,249,5904,1852,127,3468,4497,355,3165,977,4409,751,1687,1971,265,1186,1450,3311,2591,2078,1838,1797,601,308,83,7886,127,653,732,1698,1268,963,941,951,339,175,39,7622,138,533,718,1613,1323,1115,897,846,262,133,44,4,14,4,4,14,2,1,43,71,26,262,36.7553237554,9.0277777778,0,0,0,20.3288837349,265,992,12.9997420686
28,"Cartago","Cartago",310,3,1,301,801,"Mixto",FALSE,TRUE,-923.30802,108.503116,278.8900457423,1648,2127,1.2906553398,-0.3888105313,827,1300,19,147898,72491,75407,41169,41140,38618,2522,3.8001191154,29,131168,64052,67116,16730,8439,8291,126599,124565,2034,98.3933522382,61626,60636,990,64973,63929,1044,10466,5347,5119,1996,1041,955,8470,4306,4164,11185,5090,6095,328,70,258,10857,5020,5837,137432,102801,74911,69422,35061,14741,1729,7608,62826,4515,826,20592,39773,2513,26172,11088,38618,1847,8137,28634,2107,8359,10833,26978,28090,21626,19329,19391,6599,3402,1184,72491,1094,4253,5518,13834,14059,10486,9186,8971,3118,1540,432,75407,1013,4106,5315,13144,14031,11140,10143,10420,3481,1862,752,15,271,454,16,188,222,83,1249,28,1525,6218,49.7151941857,19.6952085755,12,10,10,530.3093540193,2107,11185,8.6039026897
59,"Cartago","Paraíso",323,3,2,302,732,"Mixto",FALSE,TRUE,-419.181959,49.169165,479.4212235092,752,952,1.2659574468,-0.4653361345,443,509,9,57743,28268,29475,15936,15932,14626,1306,3.9366880897,4,44408,21489,22919,13335,6779,6556,48596,47601,995,97.9525063791,23702,23236,466,24894,24365,529,4428,2220,2208,753,393,360,3675,1827,1848,3724,1797,1927,79,20,59,3645,1777,1868,53315,38900,24468,22609,12893,5834,748,2431,25752,2021,290,7774,15076,721,10510,3845,14626,798,3477,10351,856,3572,4719,11122,11023,8104,7496,7127,2188,1194,342,28268,448,1772,2346,5534,5504,3832,3572,3463,1082,575,140,29475,408,1800,2373,5588,5519,4272,3924,3664,1106,619,202,11,43,58,7,20,37,14,190,59,331,2188,41.9982226941,13.1401349742,3,2,1,120.4431451268,856,3724,8.0459969174
31,"Cartago","La Unión",330,3,3,303,789,"Mixto",FALSE,TRUE,-671.964773,79.303964,44.6534326448,1426,1764,1.237026648,-0.8786848073,1550,214,3,99399,47946,51453,28738,28726,26979,1747,3.6714110975,12,96404,46470,49934,2995,1476,1519,83579,82440,1139,98.6372174829,39996,39484,512,43583,42956,627,8107,4052,4055,1497,722,775,6610,3330,3280,5865,2527,3338,200,37,163,5665,2490,3175,91292,71714,54308,51589,27533,8182,836,4593,40392,3204,608,14051,27573,2272,16944,8357,26979,1595,6589,18795,1674,6433,7713,17501,18497,15945,13435,12336,3630,1728,507,47946,864,3188,3898,8778,8968,7582,6457,5684,1658,727,142,51453,810,3245,3815,8723,9529,8363,6978,6652,1972,1001,365,28,209,254,15,51,116,1,674,31,309,921,47.4199979724,25.1219512195,10,0,4,2226.0102776585,1674,5865,9.4055272186
55,"Cartago","Jiménez",340,3,4,304,735,"Mixto",FALSE,FALSE,-251.166461,29.559171,251.7772466066,174,217,1.2471264368,0.7142857143,-155,372,7,14669,7294,7375,4796,4785,4113,672,3.5628495016,11,7711,3789,3922,6958,3505,3453,12508,12077,431,96.5542053086,6255,6050,205,6253,6027,226,1042,526,516,164,74,90,878,452,426,1181,606,575,41,11,30,1140,595,545,13627,8740,4666,4107,2987,1145,216,796,6706,1122,83,1614,4193,414,2747,1032,4113,407,1374,2332,209,833,1119,2806,2535,2054,2063,1869,688,393,100,7294,106,420,513,1398,1308,988,1002,953,354,209,43,7375,103,413,606,1408,1227,1066,1061,916,334,184,57,1,5,4,1,0,1,7,19,55,33,303,34.2484182078,9.8214285714,1,0,0,58.26181753,209,1181,10.9482582316
58,"Cartago","Turrialba",345,3,5,305,733,"Mixto",FALSE,FALSE,-1003.40173,118.963848,1594.0655282415,877,1102,1.2565564424,-0.278584392,307,795,24,69616,34415,35201,23221,23215,20453,2762,3.3973011294,6,39946,19369,20577,29670,15046,14624,58784,56468,2316,96.0601524224,28855,27779,1076,29929,28689,1240,5428,2755,2673,1020,490,530,4408,2265,2143,6004,2988,3016,100,28,72,5904,2960,2944,64188,42843,25741,23646,12707,5640,1529,3968,27933,8459,629,8751,20790,1706,13701,5383,20453,1826,5356,13271,1000,4428,5404,12395,11973,9206,9491,9715,3378,2026,600,34415,517,2238,2805,6266,5964,4318,4563,4756,1674,1013,301,35201,483,2190,2599,6129,6009,4888,4928,4959,1704,1013,299,18,37,61,4,19,15,77,231,58,816,3506,41.6401364509,18.8801480796,9,1,3,43.6719813374,1000,6004,11.7142610894
30,"Cartago","Alvarado",359,3,6,306,790,"Mixto",FALSE,TRUE,-251.393818,29.738054,79.9385834214,123,168,1.3658536585,0.3095238095,-52,220,3,14312,7165,7147,4000,3996,3612,384,3.9532115172,4,8956,4483,4473,5356,2682,2674,12053,11716,337,97.2040155978,6009,5815,194,6044,5901,143,1117,569,548,183,87,96,934,482,452,1001,501,500,30,10,20,971,491,480,13195,8920,4573,4012,1990,2435,218,470,6660,410,77,2052,3719,321,2689,709,3612,182,815,2615,222,895,1142,2754,2588,2017,1968,1725,641,279,81,7165,133,436,587,1388,1303,982,974,861,326,144,31,7147,89,459,555,1366,1285,1035,994,864,315,135,50,2,7,7,0,2,5,5,28,30,118,540,42.7716489231,17.9331306991,0,0,0,179.037448344,222,1001,8.8806595864
16,"Cartago","Oreamuno",364,3,7,307,834,"Mixto",FALSE,TRUE,-419.337502,49.497891,202.7501748512,479,608,1.2693110647,-0.4588815789,279,329,3,45473,22237,23236,11915,11909,11232,677,4.040954416,6,39770,19351,20419,5703,2886,2817,38383,37491,892,97.6760545033,18657,18170,487,19726,19321,405,3500,1782,1718,661,342,319,2839,1440,1399,2862,1351,1511,84,19,65,2778,1332,1446,41973,30542,20286,18571,9421,4916,605,1676,19963,1527,248,7117,11509,824,7762,2923,11232,452,2169,8611,675,2825,3590,8826,8325,6712,6103,5555,1800,782,280,22237,365,1417,1798,4437,4125,3201,2913,2630,871,364,116,23236,310,1408,1792,4389,4200,3511,3190,2925,929,418,164,5,52,35,3,12,23,14,144,16,123,1089,36.8445265317,10.1485148515,0,1,0,224.2809409826,675,2862,8.2928331098
17,"Cartago","El Guarco",371,3,8,308,832,"Mixto",FALSE,TRUE,-335.905435,39.292034,173.6106953544,484,608,1.2561983471,-0.3733552632,227,381,5,41793,21057,20736,11819,11812,10831,981,3.8300249284,7,36636,18380,18256,5157,2677,2480,35242,34687,555,98.4251745077,17693,17418,275,17549,17269,280,3191,1658,1533,566,277,289,2625,1381,1244,2405,1144,1261,78,18,60,2327,1126,1201,38602,28342,19944,18115,9452,4538,465,1494,18645,1538,215,5446,10988,799,7646,2543,10831,553,2345,7933,646,2545,3360,7952,7787,6689,5543,4866,1449,759,197,21057,341,1317,1706,4040,3999,3362,2759,2389,718,354,72,20736,305,1228,1654,3912,3788,3327,2784,2477,731,405,125,3,57,77,3,15,51,15,221,17,163,1061,41.598953806,13.3169934641,1,0,3,240.7282564861,646,2405,8.1090134712
19,"Heredia","Heredia",379,4,1,401,828,"Mixto",FALSE,TRUE,-420.689535,50.129774,284.2714090618,1840,2282,1.2402173913,-0.7340052585,1675,607,9,123616,58667,64949,37277,37261,35216,2045,3.5009654702,16,123255,58459,64796,361,208,153,106560,105570,990,99.0709459459,50051,49591,460,56509,55979,530,8228,4156,4072,1624,822,802,6604,3334,3270,9101,3752,5349,318,64,254,8783,3688,5095,115388,92327,75600,72491,38698,9859,934,7782,48554,3983,865,12941,36339,3309,20843,12187,35216,1227,6467,27522,1652,6576,8828,20308,24061,19429,16770,16891,5291,2847,963,58667,851,3305,4460,10093,11788,9272,7708,7438,2265,1127,360,64949,801,3271,4368,10215,12273,10157,9062,9453,3026,1720,603,51,618,535,28,274,232,108,1846,19,1971,5969,50.043610689,24.8236775819,29,22,16,434.8520324572,1652,9101,10.4905513849
